actor	A League of Their Own	Chapman, Raymond L.	Ticket Scalper
actor	A League of Their Own	Davis, Don S.	Charlie Collins, Racine Coach
actor	A League of Their Own	Einhorn, Marvin	Older Ira
actor	A League of Their Own	Feagley, Stephen	Autograph Kid #2
actor	A League of Their Own	Flannery, Brian	Autograph Kid #1
actor	A League of Their Own	Franks, David	Vacuum Salesman
actor	A League of Their Own	Gleeson, Brian Boru	Bobby
actor	A League of Their Own	Haley, Michael	Empathetic Umpire
actor	A League of Their Own	Hanks, Tom	Jimmy Dugan
actor	A League of Their Own	Holton, Mark	Older Stilwell
actor	A League of Their Own	Howell, Ryan	Jeffrey
actor	A League of Their Own	Jones, Eddie	Dave Hooch
actor	A League of Their Own	Krowka, Joe	Heckler
actor	A League of Their Own	Lovitz, Jon	Ernie Capadino
actor	A League of Their Own	Mailer, Stephen	Kit's Guy in Bar
actor	A League of Their Own	Marshall, Garry	Walter Harvey
actor	A League of Their Own	Mekka, Eddie	Mae's Guy in Bar
actor	A League of Their Own	Olsen, Ryan	Dollbody Kid
actor	A League of Their Own	Pullman, Bill	Bob Hinson
actor	A League of Their Own	Sandel Jr., Wantland L.	Doctor
actor	A League of Their Own	Scheller, Justin	Stilwell Gardner
actor	A League of Their Own	Shearer, Harry	Newsreel Announcer
actor	A League of Their Own	Slotnick, Joey	Doris' Fan #2
actor	A League of Their Own	Sporleder, Gregory	Mitch Swaley
actor	A League of Their Own	Stanton, Robert	Western Union Man
